net,length_um
_06515_,30.14
_03921_,30.105
acc\[0\]\[15\],30.1
_06770_,30.08
_04008_,30.06
_03467_,30.04
_05624_,30
acc\[9\]\[28\],30
acc\[11\]\[26\],29.99
_01643_,29.98
_00079_,29.94
_04356_,29.92
_03567_,29.9
acc\[7\]\[14\],29.9
acc\[7\]\[17\],29.88
_01480_,29.82
_05373_,29.82
_02911_,29.8
_04109_,29.8
acc\[13\]\[29\],29.76
_04536_,29.74
_01022_,29.73
_01056_,29.72
_07110_,29.7
_02683_,29.62
_00199_,29.56
_02661_,29.56
_02446_,29.54
_03036_,29.52
_03795_,29.52
acc\[5\]\[19\],29.48
_02062_,29.46
acc\[10\]\[20\],29.44
acc\[12\]\[14\],29.44
acc\[11\]\[13\],29.34
_00915_,29.32
acc\[7\]\[30\],29.28
acc\[1\]\[17\],29.24
_02592_,29.095
_02906_,29.08
_06108_,29.075
_05696_,29.02
_04341_,29
_04765_,28.9
_04713_,28.88
_06164_,28.74
acc\[5\]\[12\],28.68
_04070_,28.66
_02093_,28.62
_06006_,28.62
_06476_,28.56
_04025_,28.55
_01015_,28.52
_02141_,28.52
_05115_,28.52
_04057_,28.48
_07132_,28.48
_05826_,28.46
_04440_,28.44
_06729_,28.4
_06025_,28.38
_03037_,28.36
_07039_,28.36
_01176_,28.3
_05642_,28.28
acc\[12\]\[15\],28.28
_06914_,28.26
_00082_,28.24
_02619_,28.23
acc\[4\]\[26\],28.19
_01447_,28.18
_02879_,28.16
_05751_,28.12
_02730_,28.02
_03170_,28.02
_02702_,27.98
_04235_,27.94
_06029_,27.94
_03677_,27.93
_01087_,27.92
_06043_,27.915
_05531_,27.91
_06747_,27.88
_01440_,27.86
_04161_,27.86
_01183_,27.82
_02957_,27.82
_01722_,27.8
_02116_,27.8
acc\[4\]\[18\],27.78
acc\[8\]\[19\],27.76
_03305_,27.68
_02435_,27.66
acc\[2\]\[23\],27.64
_03090_,27.62
_02450_,27.61
_04424_,27.56
_02981_,27.545
_06621_,27.52
_01844_,27.5
_03863_,27.5
_02182_,27.48
_03641_,27.435
_02788_,27.42
_02560_,27.405
_03278_,27.4
_03071_,27.34
_01423_,27.32
_03706_,27.32
_02851_,27.31
_04664_,27.3
_02716_,27.28
_00223_,27.22
_03973_,27.22
clknet_leaf_63_clk,27.22
_03178_,27.18
acc\[5\]\[8\],27.1
_03811_,27.08
acc\[3\]\[29\],27.06
_00314_,27.04
_05520_,27.02
acc\[4\]\[30\],27.02
_06547_,26.98
_03771_,26.95
_04917_,26.94
_06586_,26.94
acc\[9\]\[9\],26.92
_04115_,26.9
_01354_,26.88
_02949_,26.82
_03595_,26.82
_05763_,26.82
_06249_,26.82
_00383_,26.8
_06269_,26.77
_03869_,26.74
_00232_,26.72
_02725_,26.7
_03729_,26.68
_05721_,26.68
_00011_,26.64
_03655_,26.64
_06596_,26.6
_01634_,26.58
_01843_,26.58
_05915_,26.56
_06387_,26.54
_01980_,26.42
_07219_,26.42
_03755_,26.38
_05035_,26.35
_00299_,26.32
_06570_,26.32
acc\[10\]\[31\],26.3
_03451_,26.26
_04523_,26.26
acc\[2\]\[14\],26.24
_07129_,26.17
_00994_,26.16
_02436_,26.16
_05890_,26.16
_02374_,26.12
_07236_,26.1
_02095_,26.06
_02845_,26.06
_06005_,26.02
_00107_,25.96
_01637_,25.96
_02768_,25.96
_03417_,25.96
_02694_,25.93
_00400_,25.9
_00868_,25.9
_00121_,25.88
_03819_,25.86
_01213_,25.8
_06776_,25.78
_02878_,25.76
acc\[1\]\[26\],25.76
_02581_,25.74
_05458_,25.74
_06421_,25.73
_01358_,25.72
_05001_,25.7
_03001_,25.68
_03636_,25.68
_03928_,25.66
_00902_,25.62
_01388_,25.6
_03210_,25.6
_04574_,25.56
_03480_,25.55
_01013_,25.52
_02707_,25.52
_03977_,25.515
_05419_,25.5
_03861_,25.48
_03408_,25.46
_03797_,25.42
_03665_,25.4
_04340_,25.4
_03141_,25.38
_06267_,25.36
_05739_,25.34
acc\[8\]\[14\],25.34
_01684_,25.31
_00206_,25.3
_00923_,25.3
_01984_,25.3
_01569_,25.295
_03531_,25.28
_01628_,25.22
_02602_,25.22
_05830_,25.18
_05948_,25.18
_01896_,25.16
_02727_,25.14
_03972_,25.1
_03680_,25.08
_01607_,25.06
_00312_,25.05
_02038_,25.02
_03336_,25.02
_05332_,25.02
_02291_,24.93
_06992_,24.88
